Station name,Station ID
230,Mäkitorpantie
231,Siltavoudintie
232,Oulunkylän asema
233,Kirkkoherrantie
234,Otto Brandtin tie
235,Katariina Saksilaisen katu
236,Hernepellontie
237,Aulangontie
238,Pihlajamäki
239,Viikin tiedepuisto
240,Viikin normaalikoulu
241,Agronominkatu
242,Von Daehnin katu
243,Mustikkamaa
244,Relanderinaukio
245,Kulosaari (M)
246,Tupasaarentie
247,Haakoninlahdenkatu
248,Gunillantie
249,Isosaarentie
250,Reiherintie
251,Laajasalon ostoskeskus
252,Humalniementie
253,Tammisalon aukio
254,Agnetankuja
255,Laivalahden puistotie
256,Herttoniemenranta
257,Margareetankuja
258,Abraham Wetterin tie
259,Petter Wetterin tie
260,Herttoniemi (M)
261,Asentajanpuisto
262,Siilitie (M)
263,Herttoniemen kirkko
264,Eränkävijäntori
265,Siilitie 9
266,Siilitie 13
267,Roihupelto
268,Porolahden koulu
269,Peukaloisentie
270,Tulisuontie
271,Prinsessantie
272,Marjaniementie
274,Voikukantie
275,Itäkeskus (M)
276,Puotinharju
277,Marjaniemi
278,Puotilantie
279,Puotinkylän kartano
280,Puotilan ostoskeskus
281,Puotila (M)
282,Karhulantie
283,Alakiventie
284,Myllypuro (M)
285,Orpaanporras
286,Mamsellimyllynkatu
290,Vallilan varikko
291,Itäkeskus Metrovarikko
292,Koskelan varikko
293,Korkeasaari
294,Postipuisto
301,Aurinkotuulenkatu
302,Sumukuja
303,Leikosaarentie
304,Aurinkolahdenaukio
305,Kalkkihiekantie
306,Kauppakeskus Columbus
315,Vuosaaren liikuntapuisto
308,Mosaiikkitori
309,Kaivonkatsojanpuisto
310,Halkaisijantie
311,Ramsinniementie
312,Meri-Rastilan tori
313,Rastila (M)
314,Lokitie
316,Punakiventie
317,Haapasaarentie
318,Vuosaaren puistopolku
319,Purjetie
320,Koukkusaarentie
321,Vartioharjuntie
322,Rukatunturintie
323,Sallatunturintie
325,Mellunmäki (M)
324,Sinkilätie
327,Humikkalankuja
328,Lallukankuja
329,Kurkimäki
330,Kontula (M)
326,Tuukkalantie
331,Lettopolku
332,Kontulankaari
333,Kivikonkaari
334,Varustuksentie
335,Kurkimäentie
336,Kivikonlaita
337,Kivikon liikuntapuisto
338,Jakomäentie
340,Jakomäki
339,Alppikylä
341,Heikinlaakso
342,Puistolan VPK
343,Puistolantori
344,Puistolan asema
346,Maatullinkuja
347,Sateenkaarentie
348,Siltamäki
349,Töyrynummentie
350,Töyrynummi
351,Kotinummentie
345,Porvarintie
353,Helluntairaitti
352,Tapanilan asema
354,Saniaiskuja
355,Halmetie
356,Laulurastaantie
357,Vanha Tapanilantie
358,Syystie
359,Malmin sairaala
360,Malmin asema
361,Huhtakuja
362,Teerisuontie
364,Ala-Malmin tori
363,Väärämäentie
365,Karviaistie
366,Tilketori
367,Karhusuontie
372,Jokipellontie
368,Pukinmäen liikuntapuisto
369,Pukinmäen asema
370,Rapakiventie
391,Tollinpolku
373,Mikkolantie
374,Etupellonpuisto
375,Piikintie
376,Torpparinmäentie
379,Paloheinän kirjasto
377,Paloheinän maja
378,Paloheinäntie
380,Pirkkolan liikuntapuisto
381,Maununneva
307,Ulappasilta
382,Hakuninmaa
383,Kuninkaantammi
384,Kalannintie
386,Kannelmäen liikuntapuisto
385,Pajupillintie
387,Kauppakeskus Kaari
388,Kaustisentie
389,Kannelmäen asema
371,Savela
390,Trumpettikuja
392,Viljelijäntie
393,Malminkartanon asema
394,Tuohipolku
395,Honkasuo
396,Malminkartanonhuippu
397,Hankasuontie
398,Ajomiehentie
399,Vähäntuvantie
400,Kuusisaari
401,Koivusaari (M)
402,Bermudankuja
403,Verkkosaari
404,Sompasaari
405,Jollas
